Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,Growth Habit
ABOV,CYMO10,Cyperus monostachyos L.,,Graminoid
ABOV,FIOV,Fimbristylis ovata (Burm. f.) J. Kern,,Graminoid
ABOV,,Abildgaardia ovata (Burm. f.) Kral,flatspike sedge,Graminoid
ABOV,FIMO2,Fimbristylis monostachya (L.) Hassk.,,Graminoid
ABOV,ABMO4,Abildgaardia monostachya (L.) Vahl,,Graminoid
ACAR14,STAR2,Stipa arida M.E. Jones,,Graminoid
ACAR14,,Achnatherum aridum (M.E. Jones) Barkworth,Mormon needlegrass,Graminoid
ACBL,ORBL,Oryzopsis bloomeri (Bol.) Ricker,,Graminoid
ACBL,STBL4,Stipa bloomeri Bol.,,Graminoid
ACBL,,Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale],,Graminoid
ACBL,STBL5,Stiporyzopsis bloomeri (Bol.) B.L. Johnson,,Graminoid
ACBR5,NABR2,Nassella brachychaeta (Godr.) Barkworth,,Graminoid
ACBR5,STBR3,Stipa brachychaeta Godr.,,Graminoid
ACBR5,,Achnatherum brachychaetum (Godr.) Barkworth,shortbristled needlegrass,Graminoid
ACBR6,,Achnatherum bromoides (L.) P. Beauv.,,Graminoid
ACBR6,STAR14,Stipa aristella L.,,Graminoid
ACBR6,STBR8,Stipa bromoides (L.) Dorfl.,,Graminoid
ACCA30,,Achnatherum calamagrostis (L.) P. Beauv.,,Graminoid
ACCA34,STTO8,Stipa tortilis Desf.,,Graminoid
ACCA34,,Achnatherum capense (Thunb.) P. Beauv.,Cape ricegrass,Graminoid
ACCA34,STCA25,Stipa capensis Thunb.,,Graminoid
ACCA36,,Achnatherum caragana (Trin.) Nevski,,Graminoid
ACCA36,LACA13,Lasiagrostis caragana (Trin.) Trin. & Rupr.,,Graminoid
ACCA36,STCA27,Stipa caragana Trin.,,Graminoid
ACCA31,,Achnatherum caudatum (Trin.) S.L.W. Jacobs & J. Everett,Chilean ricegrass,Graminoid
ACCA31,STLI4,Stipa littoralis Phil.,,Graminoid
ACCL7,STCL5,Stipa clandestina Hack.,,Graminoid
ACCL7,,Achnatherum clandestinum (Hack.) Barkworth,Mexican ricegrass,Graminoid
ACCO22,STCO11,Stipa contracta (B.L. Johnson) W.A. Weber,,Graminoid
ACCO22,ORCO3,Oryzopsis contracta (B.L. Johnson) Schltr.,,Graminoid
ACCO22,,Achnatherum contractum (B.L. Johnson) Barkworth,contracted ricegrass,Graminoid
ACCO22,ORHYC,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper var. contracta B.L. Johnson,,Graminoid
ACCO21,STCO5,Stipa coronata Thurb.,,Graminoid
ACCO21,,Achnatherum coronatum (Thurb.) Barkworth,giant ricegrass,Graminoid
ACCU6,STCU2,Stipa curvifolia Swallen,,Graminoid
ACCU6,,Achnatherum curvifolium (Swallen) Barkworth,Guadalupe ricegrass,Graminoid
ACDI10,STDI,Stipa diegoensis Swallen,,Graminoid
ACDI10,,Achnatherum diegoense (Swallen) Barkworth,San Diego needlegrass,Graminoid
ACEM4,STEM2,Stipa eminens Cav.,,Graminoid
ACEM4,,Achnatherum eminens (Cav.) Barkworth,southwestern needlegrass,Graminoid
ACHE10,ORHE,Oryzopsis hendersonii Vasey,,Graminoid
ACHE10,,Achnatherum hendersonii (Vasey) Barkworth,Henderson's needlegrass,Graminoid
ACHE10,STHE5,Stipa hendersonii (Vasey) Muhl.,,Graminoid
ACHY,ERCU9,Eriocoma cuspidata Nutt.,,Graminoid
ACHY,,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass,Graminoid
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,,Graminoid
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper,,Graminoid
ACLA8,STLA2,Stipa latiglumis Swallen,,Graminoid
ACLA8,,Achnatherum latiglume (Swallen) Barkworth,Sierra needlegrass,Graminoid
ACLE8,,Achnatherum lemmonii (Vasey) Barkworth,Lemmon's needlegrass,Graminoid
ACLEL,ACLEL2,Achnatherum lemmonii (Vasey) Barkworth ssp. lemmonii,,Graminoid
ACLEL,,Achnatherum lemmonii (Vasey) Barkworth var. lemmonii,Lemmon's needlegrass,Graminoid
ACLEL,STLEJ,Stipa lemmonii (Vasey) Scribn. var. jonesii Scribn.,,Graminoid
ACLEL,STLE2,Stipa lemmonii (Vasey) Scribn.,,Graminoid
ACLEL,STLEL,Stipa lemmonii (Vasey) Scribn. var. lemmonii,,Graminoid
ACLEP,,Achnatherum lemmonii (Vasey) Barkworth var. pubescens (Crampton) Barkworth,pubescent Lemmon's needlegrass,Graminoid
ACLEP,ACLEP2,Achnatherum lemmonii (Vasey) Barkworth ssp. pubescens (Crampton) Barkworth,,Graminoid
ACLEP,STLEP,Stipa lemmonii (Vasey) Scribn. var. pubescens Crampton,,Graminoid
ACLE9,,Achnatherum lettermanii (Vasey) Barkworth,Letterman's needlegrass,Graminoid
ACLE9,STLE4,Stipa lettermanii Vasey,,Graminoid
ACLO7,,Achnatherum lobatum (Swallen) Barkworth,littleawn needlegrass,Graminoid
ACLO7,STLO3,Stipa lobata Swallen,,Graminoid
ACNE9,,Achnatherum nelsonii (Scribn.) Barkworth,Columbia needlegrass,Graminoid
ACNED,STNED,Stipa nelsonii Scribn. ssp. dorei Barkworth & Maze,,Graminoid
ACNED,,Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth,Dore's needlegrass,Graminoid
ACNED,ACNED2,Achnatherum nelsonii (Scribn.) Barkworth var. dorei (Barkworth & Maze) Dorn,,Graminoid
ACNED,STOCM,"Stipa occidentalis Thurb. var. minor sensu C.L. Hitchc., non (Vasey) C.L. Hitchc.",,Graminoid
ACNED,STNED2,Stipa nelsonii Scribn. var. dorei (Barkworth & Maze) Dorn,,Graminoid
ACNED,STCO3,"Stipa columbiana Macoun, nom. utique rej.",,Graminoid
ACNED,STMI6,Stipa minor (Vasey) Scribn.,,Graminoid
ACNEN2,,Achnatherum nelsonii (Scribn.) Barkworth ssp. nelsonii,Columbia needlegrass,Graminoid
ACNEN2,STNE3,Stipa nelsonii Scribn.,,Graminoid
